Year,BPM,Energy,Danceability,Loudness,Liveness,Valence,Length,Acousticness,Speechiness,Popularity,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7
2012,136,78,45,-4,67,24,187,11,6,73,0,0,1,0,0,0,0,0
1971,134,32,28,-17,11,14,1412,37,4,58,1,0,0,0,0,0,0,0
2007,93,93,44,-3,8,40,203,1,5,62,0,0,0,0,0,1,0,0
2014,93,48,74,-9,11,36,285,3,4,73,0,1,0,0,0,0,0,0
2004,117,75,61,-9,39,97,394,1,3,49,0,0,0,0,1,0,0,0
2013,126,34,47,-8,11,24,165,86,4,63,0,0,0,0,0,0,0,1
1987,95,20,54,-19,33,23,257,86,3,55,1,0,0,0,0,0,0,0
1997,99,28,43,-12,12,4,280,73,3,75,0,0,0,1,0,0,0,0
1989,116,39,65,-12,32,60,177,2,3,61,0,0,0,0,0,1,0,0
1969,89,27,40,-17,11,49,167,72,3,63,0,0,0,0,1,0,0,0
1989,92,65,48,-6,55,54,301,16,3,33,1,0,0,0,0,0,0,0
1974,117,65,54,-6,14,61,180,38,6,67,1,0,0,0,0,0,0,0
1958,175,76,36,-8,76,95,136,73,6,69,0,0,0,0,1,0,0,0
1997,113,37,47,-5,19,22,160,25,3,55,0,0,0,0,1,0,0,0
2007,106,84,70,-5,12,89,219,0,5,62,0,0,0,0,0,0,1,0
2015,121,62,88,-9,5,30,384,0,5,63,0,1,0,0,0,0,0,0
2008,91,59,56,-10,23,48,284,28,3,50,1,0,0,0,0,0,0,0
1988,129,74,48,-10,5,60,218,1,8,45,0,1,0,0,0,0,0,0
1995,137,49,76,-11,21,88,257,67,3,46,1,0,0,0,0,0,0,0
1984,126,80,63,-8,40,87,232,20,3,69,1,0,0,0,0,0,0,0
1973,117,85,28,-8,6,44,559,1,5,71,1,0,0,0,0,0,0,0
2012,130,73,53,-5,8,57,205,0,3,48,0,0,0,0,0,0,0,1
2002,171,58,51,-5,37,67,279,3,6,65,0,0,0,0,0,1,0,0
1988,186,44,24,-11,7,40,390,11,3,63,1,0,0,0,0,0,0,0
2014,130,70,76,-9,4,30,268,7,4,42,0,0,0,0,0,0,0,1
2018,178,64,38,-7,37,8,261,7,7,83,0,0,1,0,0,0,0,0
1991,117,77,65,-10,36,95,242,21,3,71,1,0,0,0,0,0,0,0
2012,122,26,39,-10,9,18,282,81,3,55,0,0,0,1,0,0,0,0
1974,128,64,51,-12,9,83,208,17,4,55,1,0,0,0,0,0,0,0
1985,108,55,63,-13,6,20,299,72,6,67,0,0,0,1,0,0,0,0
2011,118,73,43,-7,17,31,241,0,4,68,0,1,0,0,0,0,0,0
2004,136,43,28,-7,6,7,219,28,3,55,0,0,0,1,0,0,0,0
1999,130,66,44,-8,10,18,270,20,7,75,0,1,0,0,0,0,0,0
1970,147,91,60,-7,8,72,290,31,6,64,0,0,0,0,1,0,0,0
2004,98,50,52,-11,11,66,242,16,3,46,1,0,0,0,0,0,0,0
1965,136,86,72,-8,13,93,223,4,3,77,1,0,0,0,0,0,0,0
1980,117,92,64,-6,62,87,260,18,6,69,0,0,0,0,0,1,0,0
2010,89,73,63,-6,16,50,324,9,3,38,0,0,0,1,0,0,0,0
2017,168,82,61,-5,15,29,187,1,4,86,0,0,1,0,0,0,0,0
2015,87,65,66,-4,6,37,203,12,5,73,0,0,0,0,0,0,1,0
1992,144,55,27,-8,12,20,374,3,3,68,0,0,0,0,0,1,0,0
1977,102,63,68,-9,31,48,261,36,3,60,1,0,0,0,0,0,0,0
1997,95,43,48,-8,16,65,153,18,3,75,0,0,1,0,0,0,0,0
2009,182,24,19,-13,11,11,226,24,3,49,0,0,0,0,0,0,0,1
2014,83,58,27,-9,37,65,198,50,4,40,0,1,0,0,0,0,0,0
1977,134,98,32,-4,20,17,212,4,12,54,0,1,0,0,0,0,0,0
1974,98,61,60,-12,9,89,284,18,3,82,1,0,0,0,0,0,0,0
1966,112,44,55,-14,44,63,187,53,7,75,0,0,0,0,1,0,0,0
1982,170,35,56,-14,20,72,247,43,3,46,0,0,0,0,0,0,0,1
2009,144,34,64,-11,11,55,251,91,3,69,0,0,0,0,0,1,0,0
1988,103,69,44,-9,42,43,446,0,6,67,0,0,0,0,0,1,0,0
2001,123,63,65,-7,28,71,172,78,3,47,0,0,0,0,1,0,0,0
2005,123,90,52,-7,7,36,288,0,6,69,0,1,0,0,0,0,0,0
1989,94,56,72,-11,6,59,250,19,3,53,0,0,0,0,0,0,1,0
2009,108,74,59,-8,18,29,379,51,3,55,0,0,0,0,0,0,1,0
