BPM,Energy,Danceability,Loudness,Liveness,Valence,Length,Acousticness,Speechiness,Popularity,is_recent,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6
123,73,48,-8,11,87,140,57,17,65,1,0,0,0,0,1,0,0
99,21,34,-17,18,29,218,40,3,70,0,0,0,0,0,1,0,0
71,58,39,-7,22,38,295,47,3,63,0,1,0,0,0,0,0,0
135,23,40,-9,11,28,222,89,4,61,1,0,0,0,1,0,0,0
159,16,41,-22,12,42,199,88,3,77,0,0,1,0,0,0,0,0
105,59,43,-6,24,15,330,2,3,45,1,0,0,0,1,0,0,0
74,30,43,-14,23,16,278,70,3,61,0,0,0,1,0,0,0,0
94,34,38,-11,8,8,217,9,3,39,1,0,1,0,0,0,0,0
157,93,23,-5,93,28,403,29,17,32,1,0,0,1,0,0,0,0
140,95,58,-9,47,30,456,0,4,65,1,1,0,0,0,0,0,0
170,39,19,-14,12,32,371,26,4,65,0,0,1,0,0,0,0,0
72,33,45,-13,14,27,184,82,4,73,1,0,0,0,0,0,1,0
106,67,56,-7,9,60,243,2,3,58,0,0,1,0,0,0,0,0
98,56,70,-7,28,51,183,25,5,68,1,0,0,0,0,0,1,0
89,75,61,-9,14,61,277,32,9,48,0,0,0,1,0,0,0,0
143,63,57,-12,25,87,258,49,3,65,0,0,1,0,0,0,0,0
106,85,54,-6,60,60,299,7,3,59,0,0,1,0,0,0,0,0
166,29,38,-8,12,17,201,95,5,75,1,0,0,1,0,0,0,0
104,72,55,-12,11,72,435,25,3,74,0,0,1,0,0,0,0,0
82,50,33,-16,13,11,1367,11,4,48,0,0,1,0,0,0,0,0
116,74,67,-5,24,75,201,29,5,82,1,0,0,0,0,0,1,0
130,80,41,-3,18,47,223,22,4,76,0,0,1,0,0,0,0,0
104,59,56,-5,13,14,268,21,3,78,1,0,1,0,0,0,0,0
102,63,68,-9,31,48,261,36,3,60,0,0,1,0,0,0,0,0
143,43,47,-12,23,24,271,18,3,62,0,1,0,0,0,0,0,0
125,40,50,-9,12,15,225,34,3,25,1,0,0,0,0,0,1,0
92,69,76,-5,57,73,297,3,5,56,1,0,0,0,0,0,1,0
170,66,46,-9,33,53,274,3,6,72,1,0,1,0,0,0,0,0
121,80,96,-5,9,84,430,0,15,70,0,0,0,1,0,0,0,0
129,37,43,-10,32,19,278,37,3,68,0,0,0,0,0,1,0,0
103,61,71,-14,8,88,195,4,3,44,0,0,0,0,0,0,1,0
140,24,25,-14,7,21,421,68,3,46,0,0,0,0,0,0,1,0
167,58,65,-10,7,92,146,41,8,73,0,0,0,0,0,1,0,0
84,20,59,-11,9,17,255,90,3,75,1,1,0,0,0,0,0,0
194,93,49,-4,37,92,203,61,7,63,0,0,0,1,0,0,0,0
153,64,36,-10,13,45,272,1,4,55,0,0,1,0,0,0,0,0
87,55,27,-10,10,43,386,4,5,63,0,0,1,0,0,0,0,0
125,80,74,-6,26,89,269,18,4,70,0,0,1,0,0,0,0,0
100,57,74,-8,10,57,209,51,4,52,1,0,0,0,1,0,0,0
75,41,52,-13,35,28,511,20,3,59,0,0,1,0,0,0,0,0
91,82,67,-7,97,80,317,10,5,40,0,0,0,1,0,0,0,0
137,34,54,-14,13,30,236,46,4,49,0,0,1,0,0,0,0,0
168,47,28,-8,16,25,257,24,3,66,0,0,0,0,0,1,0,0
120,48,36,-12,18,36,414,52,8,70,0,0,1,0,0,0,0,0
136,98,54,-8,8,52,225,17,5,61,1,0,0,1,0,0,0,0
117,58,30,-7,10,23,271,0,3,69,0,0,1,0,0,0,0,0
73,40,41,-8,16,21,259,58,3,49,0,0,1,0,0,0,0,0
97,78,41,-9,8,71,199,31,6,71,0,0,1,0,0,0,0,0
92,64,56,-8,14,61,234,49,3,42,0,0,0,0,1,0,0,0
117,34,65,-12,7,39,280,49,4,58,0,0,1,0,0,0,0,0
104,57,77,-6,11,61,165,9,3,36,1,0,0,0,1,0,0,0
172,96,60,-4,25,57,188,20,5,47,1,0,0,1,0,0,0,0
138,56,74,-10,8,98,170,11,4,49,1,0,0,0,1,0,0,0
144,26,36,-11,11,49,179,91,3,58,0,0,0,0,0,0,0,1
121,62,88,-9,5,30,384,0,5,63,1,0,0,1,0,0,0,0
110,77,56,-7,22,71,209,0,3,48,1,0,1,0,0,0,0,0
184,44,27,-9,10,8,252,41,3,46,1,0,0,0,0,0,1,0
92,84,41,-6,37,39,242,3,5,55,0,0,1,0,0,0,0,0
179,54,29,-8,12,16,251,29,4,39,1,0,0,1,0,0,0,0
115,75,48,-9,26,42,261,43,8,73,0,1,0,0,0,0,0,0
96,65,83,-3,9,93,234,58,8,87,1,0,0,0,0,0,1,0
118,77,53,-5,12,30,257,0,4,54,1,1,0,0,0,0,0,0
131,72,49,-6,31,87,146,39,5,75,1,0,0,0,0,0,0,1
79,27,34,-16,26,14,210,61,3,44,0,0,0,0,0,0,1,0
137,49,76,-11,21,88,257,67,3,46,0,0,1,0,0,0,0,0
177,32,29,-12,12,38,201,80,3,72,0,0,1,0,0,0,0,0
167,61,24,-8,22,33,258,66,3,68,0,0,0,0,0,0,1,0
203,82,27,-6,36,81,233,10,10,69,0,0,0,1,0,0,0,0
76,39,26,-11,11,12,229,6,3,71,0,1,0,0,0,0,0,0
95,43,48,-8,16,65,153,18,3,75,0,0,1,0,0,0,0,0
115,60,62,-8,12,58,228,14,4,24,0,0,0,0,1,0,0,0
153,84,32,-4,8,22,258,0,5,43,1,1,0,0,0,0,0,0
129,72,61,-8,36,80,218,29,3,64,1,0,1,0,0,0,0,0
110,89,64,-7,16,97,199,9,3,69,0,0,1,0,0,0,0,0
138,42,21,-9,11,12,296,16,3,81,1,0,0,1,0,0,0,0
129,49,72,-15,9,80,253,11,3,68,0,0,1,0,0,0,0,0
145,89,64,-5,34,94,167,14,4,33,0,0,1,0,0,0,0,0
132,93,64,-6,13,90,271,14,3,64,0,0,1,0,0,0,0,0
96,63,66,-10,60,84,215,21,6,53,1,0,0,0,1,0,0,0
112,36,48,-13,30,32,410,47,4,43,0,0,1,0,0,0,0,0
77,29,55,-17,4,49,256,33,3,74,0,0,0,0,0,0,1,0
128,85,77,-6,7,87,271,21,4,78,0,0,1,0,0,0,0,0
71,53,52,-8,5,43,146,18,8,69,0,0,1,0,0,0,0,0
